Date,Open,High,Low,Close,Volume,SMA_10,SMA_20,EMA_10,RSI,MACD,Signal,BB_Middle,BB_Upper,BB_Lower,Clean_Headline,Sentiment_Pos,Sentiment_Neg,Sentiment_Neu,Sentiment_Compound,Target
2020-01-01,0.05636608218256792,0.018201509226462725,0.14580301360191256,0.040892405690079264,-1.1509099860267318,,,0.050952768275371145,,-0.13009292612737633,-0.141933367039361,,,,Economic slowdown affects growth,0.464,0.0,0.536,0.3818,1
2020-01-02,0.08465795973637055,-0.009418883808913467,0.1694315586002791,0.12982327902155993,-0.07752707035138157,,,0.06750847767760014,,-0.06936099644638544,-0.12904296424689232,,,,Market faces uncertainty,0.0,0.545,0.455,-0.34,1
2020-01-03,0.20400948156203208,0.16957021867745906,0.2221377746993607,0.16241011468215857,0.47257886484387124,,,0.08712054728549777,,-0.000217172223745715,-0.10405480757914908,,,,Company reports strong earnings,0.524,0.0,0.476,0.5106,1
2020-01-06,0.27476215813617516,0.3435086187881596,0.332893100884867,0.2919685367820066,-0.1678500654458963,,,0.12728587436030173,,0.1409522302147263,-0.054100958685789034,,,,Market faces uncertainty,0.0,0.545,0.455,-0.34,0
2020-01-07,0.17794230138821682,0.17785216746747368,0.21167715213504193,0.23639841877858528,-1.622931908046497,,,0.1498032703068255,,0.2105167235772327,0.0006272422389078607,,,,Investors cautious about future,0.0,0.318,0.682,-0.1027,0
2020-01-08,0.2839079139168303,0.3425864574623325,0.2353585540014232,0.2174300802555332,-0.40690780691231637,,,0.16469537626569358,,0.24818352865752366,0.05240461381278136,,,,Market faces uncertainty,0.0,0.545,0.455,-0.34,1
2020-01-09,0.38336097594547486,0.3227916440466006,0.41254605358632224,0.5267782275696136,1.1198360406958079,,,0.23446925352012124,,0.48464117002475504,0.1440148429195796,,,,Market faces uncertainty,0.0,0.545,0.455,-0.34,0
2020-01-10,0.434597016840751,0.5054068818178665,0.5383732349230776,0.4999390164834448,-0.640442448487311,,,0.28656048172312815,,0.6445656790890367,0.25124713680803834,,,,Investors cautious about future,0.0,0.318,0.682,-0.1027,0
2020-01-13,0.41507440454450667,0.4913980642596568,0.3561737453299853,0.49171901124627876,-1.3936325073898097,,,0.32765031010671447,,0.7554211034705366,0.36056212831995393,,,,Market faces uncertainty,0.0,0.545,0.455,-0.34,0
2020-01-14,0.49475487379282646,0.5820086033155435,0.5243934982475356,0.4662550334760649,0.22859441455411406,0.3207369478189008,,0.35652878971306845,,0.814792668824929,0.46061578585758434,,,,Company reports strong earnings,0.524,0.0,0.476,0.5106,0
2020-01-15,0.42436919198889056,0.500726590569199,0.5407169948848968,0.4184600239129118,0.3211214635959112,0.3590332921255411,,0.37125893601644433,,0.817901156528545,0.5413184909987019,,,,Market faces uncertainty,0.0,0.545,0.455,-0.34,1
2020-01-16,0.2920536159131965,0.4703499848822058,0.38150911893670475,0.46701644869576275,-1.112075419810497,0.3932344923886174,,0.392350322499711,,0.8426929782949049,0.6111427399853375,,,,Company reports strong earnings,0.524,0.0,0.476,0.5106,0
2020-01-17,0.47945673094473096,0.3989605691335964,0.511784418036406,0.36536933441516334,-1.2595309505580972,0.41382046370598785,,0.3906838982893025,,0.781614892220986,0.6540382643987006,,,,Company reports strong earnings,0.524,0.0,0.476,0.5106,0
2020-01-20,0.2992541473001104,0.2982938002560611,0.26383824709476084,0.21442556814207278,0.47075511824435523,0.4059553500620488,,0.36122019503809655,,0.6202906013061533,0.6541134684596234,,,,Tech stocks rise amid optimism,0.467,0.0,0.533,0.5423,0
2020-01-21,0.08642376527211316,-0.0357878260275876,0.04998962922566168,0.05782459350943236,-0.8602514521474646,0.38784276739711754,,0.3079600960697389,-0.005441581508515451,0.37840091646042806,0.6028323440960126,,,,Tech stocks rise amid optimism,0.467,0.0,0.533,0.5423,0
2020-01-22,-0.06582586834248776,0.07581709425079794,-0.08524137814337349,0.003169684720204885,-0.8459121364669095,0.366110527971185,,0.2542088858978479,-0.4381714663789187,0.14576693039800928,0.5124306867890335,,,,Economic slowdown affects growth,0.464,0.0,0.536,0.3818,0
2020-01-23,-0.12275225428932116,-0.10273968543008244,-0.11148380540448825,-0.11770900243026719,0.5128136535677914,0.30074076724466137,,0.1877273871747474,-0.8426480515909891,-0.1221893301796003,0.3832354208636208,,,,Company reports strong earnings,0.524,0.0,0.476,0.5106,1
2020-01-24,-0.07972494617934048,-0.013459383751322905,-0.12225056303175963,-0.05490317362578227,0.2163467892862741,0.24446362237644298,,0.14502560548681998,-1.0850794144900717,-0.2893258084956315,0.24440435102381847,,,,Market faces uncertainty,0.0,0.545,0.455,-0.34,0
2020-01-27,-0.14298758071492212,-0.18476873706912508,-0.2776457170874023,-0.13418039298903675,0.8265499287774275,0.1809792081177717,,0.09532923561945164,-1.1339462677783887,-0.47259790894472953,0.09443983877978483,,,,Economic slowdown affects growth,0.464,0.0,0.536,0.3818,0
